"Source:","C:\Users\jLiu2\Desktop\Eclectronics\miniproject1\miniproject1.kicad_sch"
"Date:","9/16/2022 12:00:45 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Users\jLiu2\Downloads\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","16"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","0.1u","C","miniproject1-library:CAPC1608X90","Unpolarized capacitor",""
"C3, C4, ","2","1u","C","miniproject1-library:C0603C105K3RACTU","Unpolarized capacitor",""
"D1, ","1","LED","LED","Diode_SMD:D_0805_2012Metric","Light emitting diode",""
"J1, ","1","USB_A","USB_A","miniproject1-library:MOLEX_48037-0001 (2)","USB Type A connector",""
"R1, R2, R7, R8, ","4","10K","R","miniproject1-library:RC0603FR-0710KL","Resistor",""
"R3, ","1","3.01M","R","Resistor_SMD:R_0603_1608Metric","Resistor",""
"R4, ","1","1M","R","miniproject1-library:RC0603FR-071ML","Resistor",""
"R5, ","1","499K","R","miniproject1-library:RC0603FR-07499KL","Resistor",""
"R6, ","1","40.2K","R","miniproject1-library:RC0603FR-0740K2L","Resistor",""
"U1, ","1","MCP1700-3302E_SOT23","MCP1700-3302E_SOT23","miniproject1-library:MCP1702T-3302E&slash_CB","250mA Low Quiscent Current LDO, 3.3V output, SOT-23",""
"U2, ","1","MCP6021T-E/OT","MCP6021T-E{slash}OT","miniproject1-library:MCP6021T-E&slash_OT","",""
